quiz_id,response,id,date
1,3.84,59e7c24e45d886ef404703c9,2017-07-14T17:55:39.451Z
2,1.38,59e7c25145d886ef404703cb,2017-07-14T17:55:39.451Z
3,2.1,59e7c25645d886ef404703cc,2017-07-14T17:55:39.451Z
4,3.46,59e7c25b45d886ef404703cd,2017-07-14T17:55:39.451Z
5,3.66,59e7c25f45d886ef404703ce,2017-07-14T17:55:39.451Z
6,3,59e7c26545d886ef404703cf,2017-07-14T17:55:39.451Z
7,3.88,59e7c26a45d886ef404703d1,2017-07-14T17:55:39.451Z
8,2.1,59e7c26f45d886ef404703d2,2017-07-14T17:55:39.451Z
9,3,59e7c27545d886ef404703d3,2017-07-14T17:55:39.451Z
10,3.72,59e7c27945d886ef404703d4,2017-07-14T17:55:39.451Z
11,3.72,59e7c27c45d886ef404703d5,2017-07-14T17:55:39.451Z
12,2.38,59e7c28145d886ef404703d6,2017-07-14T17:55:39.451Z
13,4.42,59e7c28545d886ef404703d8,2017-07-14T17:55:39.451Z
14,2.38,59e7c28a45d886ef404703d9,2017-07-14T17:55:39.451Z
15,4.06,59e7c2f145d886ef404703fe,2017-07-14T17:55:39.451Z
16,4.14,59e7c2f745d886ef40470401,2017-07-14T17:55:39.451Z
17,3.46,59e7c2fc45d886ef40470402,2017-07-14T17:55:39.451Z
18,3.66,59e7c30345d886ef40470403,2017-07-14T17:55:39.451Z
19,4.34,59e7c30945d886ef40470404,2017-07-14T17:55:39.451Z
20,2.74,59e7c30f45d886ef40470405,2017-07-14T17:55:39.451Z
21,3.44,59e7c31645d886ef40470406,2017-07-14T17:55:39.451Z
22,3.74,59e7c31945d886ef40470409,2017-07-14T17:55:39.451Z
23,2.32,59e7c31e45d886ef4047040a,2017-07-14T17:55:39.451Z
24,4.42,59e7c32545d886ef4047040d,2017-07-14T17:55:39.451Z
25,2.04,59e7c32a45d886ef40470410,2017-07-14T17:55:39.451Z
26,2,59e7c33045d886ef40470411,2017-07-14T17:55:39.451Z
27,3.9,59e7c33545d886ef40470413,2017-07-14T17:55:39.451Z
28,2.48,59e7c33d45d886ef40470417,2017-07-14T17:55:39.451Z
29,2.48,59e7c34345d886ef40470419,2017-07-14T17:55:39.451Z
30,4.26,59e7ba6c45d886ef404701a2,2017-07-14T17:55:39.451Z
31,4.12,59e7ba7745d886ef404701a9,2017-07-14T17:55:39.451Z
32,3,59e7ba7d45d886ef404701ac,2017-07-14T17:55:39.451Z
33,4.18,59e7ba8245d886ef404701b0,2017-07-14T17:55:39.451Z
34,3.86,59e7ba8745d886ef404701b2,2017-07-14T17:55:39.451Z
35,3.52,59e7ba8f45d886ef404701ba,2017-07-14T17:55:39.451Z
36,3.78,59e7ba9345d886ef404701bc,2017-07-14T17:55:39.451Z
37,3.94,59e7ba9b45d886ef404701bd,2017-07-14T17:55:39.451Z
38,3.88,59e7baa045d886ef404701c0,2017-07-14T17:55:39.451Z
39,1.94,59e7baa845d886ef404701c2,2017-07-14T17:55:39.451Z
40,3.68,59e7baad45d886ef404701c5,2017-07-14T17:55:39.451Z
41,4.14,59e7bab145d886ef404701c7,2017-07-14T17:55:39.451Z
42,1.8,59e7bab745d886ef404701c9,2017-07-14T17:55:39.451Z
43,1.74,59e7babb45d886ef404701cc,2017-07-14T17:55:39.451Z
44,2.14,59e7babe45d886ef404701ce,2017-07-14T17:55:39.451Z
45,2.04,59e7bac245d886ef404701d2,2017-07-14T17:55:39.451Z
46,1.68,59e7bac645d886ef404701d5,2017-07-14T17:55:39.451Z
47,1.62,59e7baca45d886ef404701d9,2017-07-14T17:55:39.451Z
48,4.22,59e7bacd45d886ef404701dd,2017-07-14T17:55:39.451Z
49,2.42,59e7bad445d886ef404701e2,2017-07-14T17:55:39.451Z
50,3.42,59e7bad945d886ef404701e6,2017-07-14T17:55:39.451Z
51,3.38,59e7bade45d886ef404701ec,2017-07-14T17:55:39.451Z
52,3.68,59e7bae645d886ef404701f3,2017-07-14T17:55:39.451Z
53,1.44,59e7baea45d886ef404701f7,2017-07-14T17:55:39.451Z
54,1.56,59e7baee45d886ef404701fa,2017-07-14T17:55:39.451Z
55,3.8,59e7baf245d886ef404701fb,2017-07-14T17:55:39.451Z
56,3.72,59e7bf2e45d886ef404702eb,2017-07-14T17:55:39.451Z
57,2.2,59e7bf3245d886ef404702ec,2017-07-14T17:55:39.451Z
58,3.66,59e7bf3645d886ef404702ee,2017-07-14T17:55:39.451Z
59,2,59e7bf3a45d886ef404702f0,2017-07-14T17:55:39.451Z
60,2.42,59e7bf4345d886ef404702f3,2017-07-14T17:55:39.451Z
61,3.46,59e7bf4745d886ef404702f4,2017-07-14T17:55:39.451Z
62,3.82,59e7bf4e45d886ef404702f6,2017-07-14T17:55:39.451Z
63,4.18,59e7bf5445d886ef404702f8,2017-07-14T17:55:39.451Z
64,3.84,59e7bf5a45d886ef404702fa,2017-07-14T17:55:39.451Z
65,3.6,59e7bf5f45d886ef404702fc,2017-07-14T17:55:39.451Z
66,1.5,59e7bf6345d886ef404702fe,2017-07-14T17:55:39.451Z
